City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,24.87,87,100,2.24,US,1689527259
1,villa emilio carranza,19.9667,-96.6,30.42,60,72,2.3,MX,1689527259
2,grytviken,-54.2811,-36.5092,-5.44,75,41,1.61,GS,1689527259
3,edinburgh of the seven seas,-37.0676,-12.3116,13.04,80,11,13.51,SH,1689527260
4,geraldton,-28.7667,114.6,5.23,87,0,4.63,AU,1689527260
5,nantucket,41.2835,-70.0995,26.08,93,100,7.2,US,1689527024
6,toliara,-23.35,43.6667,20.51,77,0,1.67,MG,1689527260
7,yellowknife,62.456,-114.3525,19.2,68,39,5.36,CA,1689527260
8,kapuskasing,49.4169,-82.4331,18.84,59,82,2.12,CA,1689527260
9,port-aux-francais,-49.35,70.2167,1.91,61,20,12.92,TF,1689527260
10,togur,58.3631,82.8265,14.42,89,12,3.39,RU,1689527261
11,puerto ayora,-0.7393,-90.3518,28.98,98,33,2.68,EC,1689527261
12,sarandi,-23.4436,-51.8739,17.75,63,0,1.54,BR,1689527025
13,margate,51.3813,1.3862,19.83,56,100,4.92,GB,1689527261
14,stanley,54.868,-1.6985,18.73,64,20,10.29,GB,1689527261
15,happy valley-goose bay,53.3168,-60.3315,27.17,54,75,6.69,CA,1689527104
16,fort bragg,35.139,-79.006,32.32,62,40,5.14,US,1689527095
17,mahajanga,-15.7167,46.3167,26.05,58,70,1.13,MG,1689527224
18,hami,42.8,93.45,34.77,10,2,5.86,CN,1689527262
19,saint-philippe,-21.3585,55.7679,22.77,86,58,6.42,RE,1689527262
20,waitangi,-43.9535,-176.5597,8.79,83,100,12.25,NZ,1689527262
21,papatowai,-46.5619,169.4708,9.13,80,63,6.88,NZ,1689527262
22,lompoc,34.6391,-120.4579,27.61,82,0,3.09,US,1689526988
23,medford,42.3265,-122.8756,28.02,43,0,0.45,US,1689527067
24,blackmans bay,-43.0167,147.3167,12.63,65,27,5.66,AU,1689527262
25,stanthorpe,-28.6667,151.95,8.57,94,100,3.19,AU,1689527262
26,cadale,2.7603,46.3222,25.31,78,71,8.83,SO,1689527263
27,port mathurin,-19.6833,63.4167,23.39,79,1,12.25,MU,1689527263
28,alaghsas,17.0187,8.0168,40.99,9,35,4.75,NE,1689527263
29,avarua,-21.2078,-159.775,22.03,73,20,3.6,CK,1689527263
30,albany,42.6001,-73.9662,26.36,87,100,0.89,US,1689527221
31,chela,34.069,104.4619,12.77,74,5,0.66,CN,1689527263
32,olonkinbyen,70.9221,-8.7187,4.26,96,100,10.38,SJ,1689527263
33,kodiak,57.79,-152.4072,12.73,76,75,0.0,US,1689527263
34,tazovsky,67.4667,78.7,7.49,64,3,2.79,RU,1689527073
35,arvayheer,46.2639,102.775,15.77,61,60,2.47,MN,1689527264
36,san luis de la loma,17.2706,-100.8939,32.09,59,39,3.03,MX,1689527264
37,tura,25.5198,90.2201,24.78,89,100,2.42,IN,1689527264
38,adamstown,-25.066,-130.1015,20.9,78,97,3.17,PN,1689527264
39,williams lake,52.1415,-122.1445,21.14,63,30,1.34,CA,1689527264
40,invercargill,-46.4,168.35,9.02,83,79,6.08,NZ,1689527264
41,ust-nera,64.5667,143.2,9.27,89,52,3.78,RU,1689527265
42,honiara,-9.4333,159.95,24.89,89,99,2.0,SB,1689527265
43,kanniyakumari,8.0833,77.5667,28.14,75,95,9.31,IN,1689527265
44,gassol,8.5333,10.4667,32.11,53,22,2.88,NG,1689527265
45,yantongshan,43.2919,126.0094,17.64,97,100,1.66,CN,1689527124
46,uruguaiana,-29.7547,-57.0883,14.97,58,5,3.7,BR,1689527265
47,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,1689527266
48,hermanus,-34.4187,19.2345,13.78,86,98,4.5,ZA,1689527266
49,artesia,33.8658,-118.0831,32.1,73,0,3.6,US,1689527267
50,kuraymah,18.55,31.85,37.96,8,3,1.09,SD,1689527267
51,argostolion,38.1811,20.489,33.04,49,0,6.17,GR,1689527267
52,anadyr,64.75,177.4833,14.28,71,0,3.0,RU,1689527267
53,zaragoza,41.6561,-0.8773,33.03,35,0,5.66,ES,1689527268
54,margaret river,-33.95,115.0667,16.15,72,99,6.75,AU,1689527268
55,puerto natales,-51.7236,-72.4875,5.25,60,40,6.69,CL,1689527268
56,al artawiyah,26.5053,45.3444,36.25,6,0,3.98,SA,1689527268
57,ribeira grande,38.5167,-28.7,23.22,64,40,5.14,PT,1689527268
58,darwha,20.3167,77.7667,23.78,89,100,5.69,IN,1689527268
59,buncrana,55.1333,-7.45,15.87,74,56,6.41,IE,1689527269
60,monte alegre,-2.0078,-54.0692,33.21,44,21,2.63,BR,1689527269
61,whangarei,-35.7317,174.3239,11.59,79,38,4.16,NZ,1689527269
62,salida,37.7058,-121.0849,35.07,37,0,2.06,US,1689527269
63,takoradi,4.8845,-1.7554,26.63,80,98,3.63,GH,1689527269
64,ushuaia,-54.8,-68.3,1.76,85,97,2.08,AR,1689527269
65,taulaga,-11.0553,-171.0883,27.94,74,9,6.97,AS,1689527270
66,danja,11.3764,7.5625,28.84,51,67,3.64,NG,1689527270
67,yuktae-dong,40.0247,128.1597,20.97,87,97,1.98,KP,1689527270
68,aasiaat,68.7098,-52.8699,3.03,91,100,0.42,GL,1689527270
69,port moresby,-9.4431,147.1797,22.78,89,23,3.85,PG,1689527270
70,laojunmiao,39.8333,97.7333,24.39,21,0,2.91,CN,1689527270
71,salaverry,-8.2333,-78.9667,23.21,80,87,4.76,PE,1689527271
72,hadibu,12.65,54.0333,25.67,77,27,7.69,YE,1689527271
73,eyl,7.9803,49.8164,25.71,75,37,12.04,SO,1689527271
74,ambalavao,-21.8333,46.9333,14.19,86,91,1.41,MG,1689527271
75,naze,28.3667,129.4833,26.48,85,86,7.24,JP,1689527271
76,lihue,21.9789,-159.3672,24.77,81,75,4.12,US,1689527271
77,bilibino,68.0546,166.4372,20.14,57,4,0.81,RU,1689527271
78,sinop,41.7711,34.8709,17.51,89,7,1.21,TR,1689527272
79,tiksi,71.6872,128.8694,4.31,96,100,1.37,RU,1689527272
80,longyearbyen,78.2186,15.6401,14.91,44,0,7.2,SJ,1689527272
81,pasuquin,18.3328,120.6177,26.77,84,100,3.18,PH,1689527272
82,kousa,25.9141,32.7636,38.05,7,0,4.73,EG,1689527272
83,wailua homesteads,22.0669,-159.378,24.44,86,75,4.12,US,1689527272
84,bacalar,18.6667,-88.3833,32.06,66,75,5.14,MX,1689527273
85,chui,-33.6971,-53.4616,12.31,53,16,5.18,UY,1689527273
86,thompson,55.7435,-97.8558,11.94,78,100,3.2,CA,1689527273
87,markovo,57.3206,107.0881,16.52,97,67,1.92,RU,1689527273
88,kajuru,10.3192,7.6892,26.44,71,26,1.28,NG,1689527273
89,geneina,13.45,22.45,34.95,23,41,1.64,SD,1689527273
90,uturoa,-16.7333,-151.4333,25.59,63,0,4.25,PF,1689527273
91,west island,-12.1568,96.8225,25.99,73,100,6.69,CC,1689527273
92,safaga,26.7292,33.9365,32.11,49,0,0.48,EG,1689527274
93,wuyishan,28.0047,117.8114,25.47,89,100,2.59,CN,1689527274
94,udachny,66.4167,112.4,10.56,52,100,3.65,RU,1689527274
95,maputo,-25.9653,32.5892,19.82,52,20,2.06,MZ,1689527274
96,ust'-kulom,61.6864,53.6902,18.28,61,96,0.42,RU,1689527274
97,el calafate,-50.3408,-72.2768,-1.21,74,2,2.01,AR,1689527274
98,qaqortoq,60.7167,-46.0333,5.83,95,98,2.45,GL,1689527274
99,katsuren-haebaru,26.3369,127.8719,27.43,88,75,7.72,JP,1689527275
100,hithadhoo,-0.6,73.0833,27.89,74,3,0.98,MV,1689527275
101,isafjordur,66.0755,-23.124,10.02,71,0,7.72,IS,1689527275
102,castillos,-34.1667,-53.8333,12.71,48,16,5.5,UY,1689527275
103,punta arenas,-53.15,-70.9167,3.06,87,75,6.17,CL,1689527146
104,isangel,-19.55,169.2667,21.8,74,30,8.2,VU,1689527275
105,afaahiti,-17.75,-149.2833,20.93,60,0,2.61,PF,1689527275
106,antonio enes,-16.2325,39.9086,22.77,70,5,5.51,MZ,1689527275
107,gaiman,-43.2897,-65.4929,6.21,34,3,8.42,AR,1689527276
108,hamilton,39.1834,-84.5333,29.03,66,0,4.63,US,1689527150
109,dese,11.1333,39.6333,17.13,67,75,1.78,ET,1689527276
110,badger,64.8,-147.5333,16.95,79,20,2.57,US,1689527276
111,polyarnyy,69.1989,33.4478,15.46,75,70,2.24,RU,1689527276
112,port elizabeth,-33.918,25.5701,14.5,64,83,1.87,ZA,1689527276
113,opuwo,-18.0607,13.84,21.98,23,0,4.34,NA,1689527276
114,rawlins,41.7911,-107.2387,25.94,22,0,6.69,US,1689527100
115,hammerfest,70.6634,23.6821,18.25,63,0,6.69,NO,1689527277
116,kuluncak,38.8828,37.6728,19.56,58,0,7.67,TR,1689527277
117,gulf shores,30.246,-87.7008,34.08,62,0,5.14,US,1689527277
118,eraan,9.0629,117.7016,26.77,82,98,4.46,PH,1689527277
119,rio grande,-32.035,-52.0986,16.06,57,1,5.97,BR,1689527277
120,bredasdorp,-34.5322,20.0403,14.71,79,95,2.53,ZA,1689527277
121,box elder,41.5005,-112.8764,25.08,37,0,2.45,US,1689527277
122,las terrenas,19.311,-69.5428,31.93,74,40,3.09,DO,1689527278
123,tolanaro,-25.0319,46.9987,19.18,78,0,4.82,MG,1689527278
